"","Query Mass","Database Mass (neutral mass)","rt","Isotope","Adduct","Name","spectra","Biofluid","ENTRY","p.adj","p","Fisher.Test","Mean Class plasma","Mean Class plasma_ringer_palm","Median Class plasma","Median Class plasma_ringer_palm","plasma","plasma_ringer_palm","X1","X2","X3","X4","X5","X6","X7","X8"
"362",842.5906,"Unknown","7.04","","","Unknown","14","unknown","unknown",0.295213986839772,0.295213986839772,NA,3980310.459226,6405873.22681628,3918859.55889978,6289804.17531371,2,4,6378426.16938079,1459292.94841877,81463.9692956176,8002058.74980882,6952493.80055647,5627114.55007095,7416863.39677737,5627021.15986033
"363",874.6436,"Unknown","7.06","[184][M+1]+","","Unknown","14","unknown","unknown",0.14602372116919,0.14602372116919,NA,3091653.61810732,7446542.56015923,1259271.07414679,7238914.39436123,2,4,1018172.57125954,1500369.57703405,87960.5839923512,9760111.74014335,8758075.42860668,7314822.21677322,7163006.57194924,6550266.0233078
"364",916.6549,"Unknown","7.04","[189][M]+","","Unknown","14","unknown","unknown",0.609160325965993,0.609160325965993,NA,38208235.9772645,43181400.6084549,44163021.1592996,42704816.7191796,4,4,50357595.7040168,38225950.3592294,14149305.8864421,50100091.9593698,48736957.5597452,38579011.4357153,46397957.3001209,39011676.1382383
"365",917.5675,"Unknown","7.04","[190][M]+","","Unknown","14","unknown","unknown",0.57870308914359,0.57870308914359,NA,13715938.5488535,10495113.0049438,13880532.3129445,12854751.5738325,4,3,24098218.258016,12381521.4494008,3004471.31150879,15379543.1764882,15522003.708024,12592008.2424521,748945.164086163,13117494.9052129
"366",917.6694,"Unknown","7.04","[189][M+1]+","","Unknown","14","unknown","unknown",0.828511976458479,0.828511976458479,NA,18182972.9242925,16979336.2564335,20934692.2023283,19506628.9495484,4,3,23304279.8755558,18565104.5291008,7028601.64058334,23833905.6519302,6361208.39286404,19843241.7375661,22542878.7337734,19170016.1615306
"367",918.5708,"Unknown","7.04","[190][M+1]+","","Unknown","14","unknown","unknown",9.58342327608314e-05,9.58342327608314e-05,NA,1006708.23770092,7697798.37751703,850131.05894207,7824603.87883731,0,4,2057971.03985096,1275861.29742334,268599.793068588,424400.820460796,8609692.62245658,7039515.13521803,8624584.04792576,6517401.70446775
"368",449.3588,"Unknown","5.84","","[2M+H]+ 224.171","Unknown","1","unknown","unknown",0.889633558469824,0.889633558469824,NA,2550369.39846445,2916389.3232076,1881932.20277235,1038156.27921475,4,2,5645015.67808018,792597.510232927,2969695.81087349,794168.594671206,1831107.8523932,9449243.88387913,245204.706036308,140000.850521764
"369",171.1379,"170.130676","6.84","",""," cis-4-Decenoic acid ","15","Not Available","HMDB04980 ",0.697584943366368,0.697584943366368,NA,1628645.99418737,1776439.92214585,1365021.84206703,1721937.13098143,4,4,1263442.66239635,1250811.33617466,2533728.95644076,1466601.02173771,1719304.62614151,1377007.97392326,1724569.63582136,2284877.45269728
"370",171.1379,"170.130676","6.84","",""," cis-4-Decenoic acid ","15","Blood","HMDB04981 ",0.697584943366368,0.697584943366368,NA,1628645.99418737,1776439.92214585,1365021.84206703,1721937.13098143,4,4,1263442.66239635,1250811.33617466,2533728.95644076,1466601.02173771,1719304.62614151,1377007.97392326,1724569.63582136,2284877.45269728
"371",171.1379,"170.130676","6.84","",""," trans-Dec-2-enoic acid ","15","Not Available","HMDB10726 ",0.697584943366368,0.697584943366368,NA,1628645.99418737,1776439.92214585,1365021.84206703,1721937.13098143,4,4,1263442.66239635,1250811.33617466,2533728.95644076,1466601.02173771,1719304.62614151,1377007.97392326,1724569.63582136,2284877.45269728
"372",171.1379,"170.130676","6.84","",""," 8-Methylnonenoate ","15","Not Available","HMDB12183 ",0.697584943366368,0.697584943366368,NA,1628645.99418737,1776439.92214585,1365021.84206703,1721937.13098143,4,4,1263442.66239635,1250811.33617466,2533728.95644076,1466601.02173771,1719304.62614151,1377007.97392326,1724569.63582136,2284877.45269728
"373",228.2319,"Unknown","6.83","[15][M]+","","Unknown","15","unknown","unknown",0.721334952742627,0.721334952742627,NA,24972189.1268179,23257849.4031243,23965195.5510256,23910113.8959303,4,4,26208461.3750304,34624441.6854104,21721929.7270208,17333923.7198101,16274190.1650925,28936979.655544,22404548.396169,25415679.3956916
"374",269.2588,"Unknown","6.82","","","Unknown","15","unknown","unknown",0.950510601241002,0.950510601241002,NA,1803739.69707318,1763382.2965805,1752332.44516223,1856796.30736237,3,4,1860420.92871594,3272996.52614012,1644243.96160851,437297.37182813,1296512.95511535,2043423.61648194,1719020.89576353,1994571.71896121
"375",294.1888,"Unknown","6.78","","","Unknown","15","unknown","unknown",0.827232790143335,0.827232790143335,NA,15828186.1115722,18192151.3099825,12720389.9044406,16731288.0224416,4,4,34542739.0269091,15589290.3982164,9851489.41066477,3329225.61049845,10911655.404014,37941743.5087873,1364285.68625938,22550920.6408691
"376",324.3257,"Unknown","6.82","[62][M]+","[M+K]+ 285.365","Unknown","15","unknown","unknown",0.541593655133212,0.541593655133212,NA,64258830.1144716,108646355.345212,53231815.6741762,74976510.1032062,4,3,32145256.8885056,21949855.3136508,128621833.795883,74318374.4598468,40009012.8173975,109944007.389015,281862809.569388,2769591.60504698
"377",325.3289,"Unknown","6.82","[62][M+1]+","","Unknown","15","unknown","unknown",0.291900210363769,0.291900210363769,NA,12390245.3281616,27521716.6650992,11029132.2820839,20718417.5058475,3,4,6327064.2955973,1167159.79643692,26335556.9520415,15731200.2685705,8339143.48164998,22852061.0479561,60310888.1670517,18584773.963739
"378",363.3106,"Unknown","6.83","","[M+H]+ 362.303","Unknown","15","unknown","unknown",0.471914974935149,0.471914974935149,NA,2022028.17160818,1271904.05032133,2095587.52189117,599461.962545291,4,1,2418410.31427442,1772764.72950792,2979984.07045668,916953.5721937,130536.779439077,3758155.49675565,258896.428260952,940027.496829629
"379",449.3845,"Unknown","5.84","[99][M]+","[2M+H]+ 224.188","Unknown","1","unknown","unknown",0.883098475133747,0.883098475133747,NA,129679303.185149,148345088.126871,96131573.6340055,60133297.1129768,4,2,283268850.663414,43185214.8091721,141622767.887802,50640379.3802091,102280698.855527,461019845.62904,17985895.3704265,12093912.652491
"380",385.2924,"Unknown","6.82","","[M+Na]+ 362.303","Unknown","15","unknown","unknown",0.46979419616143,0.46979419616143,NA,2371102.86145156,3686694.60529194,1908448.27741153,3527832.59862767,3,4,4743472.18359106,2714086.45365347,1102810.10116959,924042.707392137,1572877.89595508,5482787.30130027,946230.621683594,6744882.60222884
"381",407.3369,"Unknown","6.8","","[M+H]+ 406.329","Unknown","15","unknown","unknown",0.605520607630519,0.605520607630519,NA,1574666.53653494,1093802.09664695,1761040.23906833,436203.386350548,4,1,2270086.80578778,1463795.89562842,2058284.58250824,506498.862215335,129890.146515281,710236.842892808,162169.929808287,3372911.46737144
"382",424.3631,"Unknown","6.79","","[M+NH4]+ 406.329","Unknown","15","unknown","unknown",0.423370599829038,0.423370599829038,NA,4762199.12649128,2953830.07059624,5213064.90172215,1728454.56058282,4,3,6626150.29795567,4337418.46821771,6088711.33522659,1996516.40456515,2372544.41293055,212850.806453705,1084364.70823509,8145560.35476561
"383",429.3181,"Unknown","6.79","[88][M]+","[M+Na]+ 406.329","Unknown","15","unknown","unknown",0.736412661778548,0.736412661778548,NA,8278869.45346436,9639376.36618681,8818013.01912127,8857752.51043062,4,4,11834193.2038535,8268393.76824977,9367632.26999278,3645258.57176138,4627500.84634279,13088004.1745185,3372365.42504297,17469635.018843
"384",430.3214,"429.309052","6.79","[88][M+1]+",""," Hexadecanedioic acid mono-L-carnitine ester ","15","Not Available","HMDB00712 ",0.0635426863184613,0.0635426863184613,NA,1692050.05058882,546909.815741722,1836457.94528496,609722.978965956,4,1,2518548.4392796,1605384.92714884,2067530.96342108,576735.872505765,922876.338413784,642836.851195856,45316.9666211907,576609.106736057
